Gottschalk,20,60,50
Savett,70,40,80
Wirka,90,100,10
Keiding,100,90,10
Schluntz,10,10,50
Kromm,90,90,60
Whitmore,70,60,30
Pacinelli,60,60,90
Wittgenstein,80,20,70
Fullerton,100,40,10
Lister,100,90,80
Chook,20,20,20
Breaux,10,10,60
Henrichs,30,80,90
Chaplin,10,90,10
Rizzi,20,70,10
Cassesso,60,100,10
Smigelski,50,60,10
Lopez-Gomez,90,70,90
Tsuang,40,40,30
Huerta,90,50,10
Soth,40,20,70
Mastrodonato,10,70,60
Lamoureaux,40,30,100
Liddell,70,40,100
Hyde,80,60,10
Bierman,60,40,50
Reyment,50,20,100
Ballatori,80,100,60
Berstler,10,10,50
Reinsel,70,40,100
Pokrovsky,80,90,70
Mccullough,80,30,60
Arrizubieta,60,80,10
Paynter,70,100,40
Duran,50,10,20
Massarotti,20,10,100
Herzlinger,50,90,20
Frederick,10,50,90
Avery,60,90,10
van Belle,80,70,90
Qin,60,30,60
Flynn,80,60,70
Ferris,50,50,30
Margalit,70,80,10
Nguyen,100,70,10
Favero,80,30,70
Wollaston-Joury,90,40,50
Gadbery,40,10,20
Ehler,10,70,30
Saner,40,40,20
Seidensticker,30,80,70
Dickerson,70,30,10
Tannahill,10,70,40
Macias,50,60,70
Royer,60,10,10
Lad,20,100,60
Zitkus,10,40,100
Raines,50,40,70
Giliberto,100,20,10
Thakrar,60,80,100
Filippucci,100,80,20
Madden,30,40,20
Hoyle,60,90,100
Finley-Moise,80,50,70
Hogan,100,60,90
Mcdermott,10,60,10
Robbat,70,100,90
Gauss,50,70,80
Kurfirtova,90,80,90
Bean,60,80,60
Bartolome,70,100,80
Barro,20,70,50
Foote,80,60,70
Ho-Stuart,80,40,10
Lowenstein,20,10,90
Sugita,60,60,40
Saville,30,40,70
Antles,30,50,100
Ambady,40,80,90
Lisbon,90,30,40
Nathan,80,70,50
Zappala,90,60,30
Pettiglio,20,90,50
Mullee,40,80,30
Ferruzza,90,60,60
Roosevelt,80,90,20
Ingrao,30,60,50
Coggeshall,80,70,100
Flaubert,50,20,60
Rieffel,100,80,80
Cornell,20,40,80
Rozen,80,10,80
Vounatsou,60,20,40
Taliani,50,80,60
Wigdahl,80,40,10
Di,30,40,100
Klein,60,40,100
Freling,90,90,10
Kuhn,30,90,10
Coutaux,100,10,60
Haywood,40,60,90
Greene,50,10,30
Turgenev,10,60,20
Bielli,80,100,10
Titilah,60,50,90
Chaillet,60,10,90
Epstein,30,20,10
Loats,60,70,40
Lebowitz,50,20,60
Chevalier,90,30,100
Monroe,100,100,30
Hoppe,100,20,80
Weker,30,60,10
Loret,80,30,50
Schimmrigk,70,90,70
Medici,20,50,90
Birkhoff,20,10,60
Cossignani,60,60,30
Kumar,40,60,70
Schossberger,20,50,20
Dunbrack,60,40,40
Rakkhita,40,30,40
Birnbaum,70,80,80
Boise,80,60,40
Cusato,60,20,20
Vieth,10,90,70
Lovejoy,30,40,30
Schulze,60,20,50
Favela,70,80,30
Brilliant,70,100,30
McHugh,70,70,80
Godard,30,70,50
Poma,20,70,60
Elvins,90,50,60
Ingraham,100,10,60
Montes,50,90,80
Gladden,10,20,60
Espino,100,50,10
Regazzini,20,20,30
Belaoussof,40,80,90
Pfefferle,100,80,30
Lodge,40,40,50
Wynn-davies,70,20,70
Sindall,80,100,80
Garner,50,90,60
Cleary,70,40,80
Abdulrazak,10,70,80
Bertram,100,60,50
Goody,90,100,80
Kierkegaard,60,80,90
Cordova,70,80,90
Hood,90,90,10
Irving,50,10,60
Sakai,90,20,10
Mass,100,100,40
Taber,60,30,40
Aaberg,40,50,20
Garboczi,90,90,50
Fader,20,50,10
Moyles,90,40,100
Carralejo,90,40,10
Lovison,80,90,60
Bulwer,10,30,60
Horlacher,40,60,30
Hopson,20,50,40
Dilleen,20,100,40
Mccabe,30,30,100
Logan,20,40,30
Vishik,50,30,30
Broca,10,70,70
Kosslyn,70,20,50
Sandel,100,70,100
Belliveau,20,30,10
Haft,60,20,30
Comanor,70,100,100
Shraiman,10,90,50
Graunt,60,60,100
Parpia,90,80,60
Zaleskas,30,80,100
Marzullo,90,10,30
Riddell,40,70,50
Srivastava,100,40,40
Caslin,20,10,50
Bayers,60,10,90
Rutkowski,40,30,70
Costello,100,100,60
Stiepock,60,100,80
Chappell,100,100,20
Partridge,40,20,90
Betti,20,20,80
Breyer,100,60,10
Pinch,20,40,10
Dancelli,80,70,50
springer,90,20,60
Randel,10,60,100
Kac,20,30,40
Wyatt,90,30,40
Mcdonough-Fiorellini,10,40,50
Steutel,80,50,100
Libbey,20,80,90
Ghosh,40,100,40
Barondess,50,40,10
Zhan,90,100,60
Overman,50,50,20
Labs,20,100,30
Hudon,40,100,30
Moules,70,70,90
Mohanty,10,80,100
Sloan,100,40,50
Oke,100,90,80
Hubsch,100,100,20
Mantegazza,20,10,10
Moshiri,100,100,100
Desombre,10,40,70
Lele,30,60,80
Signorini,100,60,100
Leacock,60,70,40
Goldfinger,70,80,90
Westervelt,60,90,100
Travers,50,40,10
Reich,90,10,20
Haver,80,70,60
Bithell,50,60,90
Gerber,50,70,90
Ferrante,80,10,30
Nicholl,60,50,90
jensen,10,50,70
Thielemann,100,10,10
Bradac,40,30,80
Clemens,50,70,40
Halco,70,80,90
Kirk,40,40,50
Seaton,90,30,40
Barron,90,80,80
Vanlandschoot,10,50,40
Wodarczak,10,30,30
Moretti,90,10,40
Cooper,10,70,60
Strasburg,60,20,20
Troisi,50,10,80
Irvine,30,70,60
Hayman,40,70,100
Collins,90,10,70
Mitra,10,10,20
Tai,50,30,70
Ash-Bernal,80,30,20
de Cruz,10,100,70
Mobley,20,80,100
Kang,80,80,60
Pfister,50,40,30
Kalupa,100,40,30
Markatos,30,70,90
Ormond,40,60,10
Corey,30,50,10
Wiles,70,40,20
Budrene,60,90,30
Lim,50,100,30
Wellner,100,90,40
Fargo,60,30,30
Dumais,70,70,100
Pariseau,50,100,80
Harokopus,50,60,80
Buschini,70,10,60
Crescenzi,70,80,60
Khalidi,80,20,30
O'mara,70,90,40
Michaud,40,80,10
Hawthorne,10,60,20
Dilwali,50,40,90
Laing,80,90,90
Makepeace,40,40,30
Scotney,80,80,80
Cheatham,40,60,100
Notman,100,20,30
Schwalenberg,20,100,40
Griliches,70,80,10
Bronson,90,50,50
Chisom,20,40,100
Rodenberg,90,90,70
Wepsic,20,80,10
Hieb,70,70,100
Paes Dealmeida,80,40,40
Schultes,50,90,70
Hultgren,60,10,80
Bohlmann,30,60,10
Nunoshiba,30,50,60
Spiliotis,30,80,40
Goethe,40,80,20
Verbic,30,80,10
Flammia,80,100,80
Marek,80,50,40
Gill,30,80,30
Munchausen,80,100,20
Mckenzie,40,90,20
Da Silva,60,20,40
Yet,90,60,40
D'aristotle,30,60,100
Sisler,10,50,10
Wales,40,90,90
Pollack,50,40,50
Parmenter,10,80,90
Chiodo,10,20,20
Boscagli,40,90,20
Paul,60,60,20
Monastero,40,10,50
Mahood,100,20,20
Lipponen,20,70,50
Lockwood,100,60,40
Perlin,70,80,90
Loeser,60,30,70
Heigemeir,10,10,30
Gladnick,80,80,80
Lariviere,40,50,40
Varraso,60,50,10
Orsua,10,80,20
Ernest,70,60,30
Viglionese,60,90,40
Proietti,50,20,30
Ure,100,60,70
wong,20,40,80
Cotton,50,90,40
Brockenbrough,20,50,40
Copas,20,40,40
Tenny,90,20,30
Sauchuk,90,10,100
Holtzman,50,30,100
Sattely,40,50,30
Klingelhofer,100,100,30
Tso,90,80,40
Arrellanes,60,100,100
Manandhar,20,40,40
Magazino,40,80,50
Douglass,30,50,70
Hildebrand,80,90,60
Cyders,20,60,90
Custis,20,50,90
Child,100,10,40
Lokhorst,90,100,70
Joe,70,90,80
Leblanc,50,100,60
Bodner,100,80,70
Chong,90,30,70
Lu,50,90,40
Lovell,50,70,30
Coxson,50,40,60
Donald,20,50,30
Peht,60,100,100
Russel,80,70,50
Gleicher,80,30,50
Love,60,10,20
Scioscia,80,100,100
Sheffels,100,40,80
Crane,60,100,80
Alfonso,30,50,30
Latham,20,40,90
Jutras,100,20,50
Farquhar,30,70,40
Hetzron,30,60,10
Leonhardt,10,90,90
Angel,100,40,20
Landry,100,100,40
Downing,30,70,80
Krauss,90,50,60
Prewitt,30,30,100
Cavell,50,80,40
Garfield,20,70,20
Malone,40,60,10
Kingdon,70,60,20
Fox,20,100,90
Kisler,50,70,90
Dagli,60,10,80
Sperber,10,20,70
Zorn,90,60,10
Duckett,40,80,80
Siegal,90,40,50
Kemper,10,50,80
Bard,40,70,60
Ruprecht,50,80,20
Audet,80,30,100
Caruso,30,30,50
Beall,60,10,50
Jernigan,70,20,100
Khalsa,50,20,50
Papineau,90,60,40
Consonni,60,70,80
Baurhenn,100,70,90
Sutter,100,40,70
Thorne,70,10,60
Lever,10,10,40
Pachta,60,20,100
Torresi,30,80,100
Lawrence,70,90,20
Kull,10,10,70
Bernston,50,50,60
Fenske,30,30,90
Villee,40,10,20
Havel,30,30,100
Holbrook,90,10,100
Opanasets,50,20,80
Marazzi,100,60,10
Grapard,60,10,60
Goliger,100,70,100
Hutton,100,30,50
Balbi,50,10,60
Kazhdan,30,60,20
Cusimano,70,60,50
Doherty,50,50,40
Lorenz,100,80,60
Kouri,100,60,40
Pisapio,60,50,100
Esty,70,90,40
Siegel,20,80,60
Encarnation,20,70,100
Zambrano,100,40,20
Pearsall,60,70,30
Vansaun,80,30,20
Sprague,60,40,40
Van Schaick,40,90,100
Franklin,30,60,50
Graber,20,30,90
Stewart,40,50,80
ford,30,100,30
Lawton,100,60,10
Serrano,50,100,80
Diemer,100,30,30
Boyden,10,70,20
Perechodiuk,50,90,70
Joltes,30,30,80
Widner,60,80,10
Shanker,90,100,100
Warshow,50,20,100
Golightly,20,70,60
Vandegrift,40,40,100
Ekstrom,60,80,80
Mesnikoff,70,90,30
Eckehard,80,20,60
Terry,80,40,10
Sengupta,60,60,80
Falter-Butera,80,100,60
Harkess,90,20,20
Matsumoto,90,80,40
Karakashian,40,80,70
Alligood,80,80,70
Stafford,90,70,40
Raiffa,50,90,90
Stein,50,80,50
Underwood,20,100,50
Manzi,80,100,20
Gu,90,60,10
Corsini,60,100,100
Genest,50,10,100
Pidgeon,100,50,50
Accardo,80,70,60
Treadwell,60,20,100
Stolz,30,30,90
Corbin,60,10,90
Lofaro,100,90,50
Paone,50,30,20
Nader,60,20,60
Nupdal,100,10,30
Stekel,100,40,20
Greenberg,80,60,40
Goffman,30,100,100
Paresky,50,40,30
Robison,30,20,30
Nardelli,80,40,30
Ceder,10,10,80
Neel,90,60,30
Mosso,80,50,80
Brandin,20,30,50
Zografou,90,80,40
Countie,50,20,10
Bob,90,80,70
Fuller,20,100,70
Woxell,50,100,10
Singleton,30,80,60
Yamasaki,90,40,30
Fiori,10,50,100
Mango,30,90,70
Sadeghpour,40,60,70
Tempesta,70,70,50
Myerson,10,40,10
Merikoski,20,50,30
Oommen,10,60,60
Resnik,70,20,80
Leonard-Barton,60,10,70
Callaghan,60,90,90
Fuentes,40,50,40
Boudjellaba,40,40,10
Kollmann,30,70,80
Vespasian,50,40,80
Paula,20,40,30
Maccormac,10,30,30
Martochio,20,60,20
Chang,10,40,70
Zobel,90,30,80
Brewer-Coburn,90,70,80
Cameron,80,90,60
Bir,70,90,100
Ferreira,60,80,40
Pflaum,50,60,100
Ruge,10,90,90
Santo,80,50,20
Jona-lasinio,90,50,90
Brownlee,90,100,90
Novoa,80,90,60
Chiara,60,40,40
Mirtin-Gonzalez,70,100,90
Falvey,70,20,60
Milito,20,10,50
Mesrobian,60,50,50
Stander,30,20,90
Patchman,50,60,30
Whidden,70,90,80
Barmashi,80,70,40
Mencken,80,60,90
Deacon,80,80,80
Glazer,40,10,90
Percy,50,100,20
Stevenson,50,80,60
Caselli,70,70,30
Rosenblatt,80,50,80
Ostler,60,60,50
Flank,50,40,20
Reggiani,30,60,40
Shirey,90,30,80
Breckner,90,80,50
Antczak-Boukoms,40,10,80
Cromie,100,30,10
Tabler,80,80,10
Prior,40,30,60
Ricupero,20,30,50
Sherman,20,20,90
Outland,30,70,20
Resch,30,90,40
St Clair,60,20,90
Vidal,50,40,30
Mcpeak,50,100,60
Tyndall,20,20,40
Glants,20,80,40
Gulati,80,20,50
Handcock,20,90,50
Inouye,80,60,90
Zaun,20,90,90
Blanton,30,90,100
Leti,40,20,100
Massam,20,30,70
Stonewell,40,90,70
Mercola,20,30,60
Tooby,90,20,40
Apathy,60,90,90
Daines,30,90,100
Gillogley,10,100,100
Benitz,40,30,60
Breyman,70,40,30
Goldston,60,70,10
Pereira,90,90,30
Walsh,10,80,40
Trifiro,70,70,10
Leroy,40,40,40
Barbarics,50,10,50
Sase,100,30,20
